student_id,student_name,campus_id,facilitator_email,grade,parent_phone,target_score,learning_track
S080,Maryam Al-Maliki,C03,facilitator4@noon.com,11,+966501234580,68,Standard
S081,Abdullah Al-Otaibi,C03,facilitator4@noon.com,10,+966501234581,75,Standard
S082,Nora Al-Juhani,C03,facilitator4@noon.com,11,+966501234582,85,Standard
S083,Hassan Al-Balawi,C03,facilitator4@noon.com,10,+966501234583,92,Accelerated
S084,Amal Al-Subai,C03,facilitator4@noon.com,11,+966501234584,30,Remedial
S085,Yousef Al-Faraj,C03,facilitator4@noon.com,10,+966501234585,89,Standard
S086,Layla Al-Khaldi,C03,facilitator4@noon.com,11,+966501234586,60,Remedial
S087,Ahmad Al-Anzi,C03,facilitator4@noon.com,10,+966501234587,86,Standard
S088,Fatima Al-Shahrani,C03,facilitator4@noon.com,11,+966501234588,90,Standard
S089,Omar Al-Qaisi,C03,facilitator4@noon.com,10,+966501234589,40,Remedial
S090,Sara Al-Mutlaq,C03,facilitator4@noon.com,11,+966501234590,88,Standard
S091,Khalid Al-Thani,C03,facilitator4@noon.com,10,+966501234591,65,Remedial
S092,Maryam Al-Mansour,C03,facilitator4@noon.com,11,+966501234592,67,Standard
S093,Abdullah Al-Rashidi,C03,facilitator4@noon.com,10,+966501234593,72,Standard
S094,Nora Al-Saud,C03,facilitator4@noon.com,11,+966501234594,84,Standard
S095,Hassan Al-Khalifa,C03,facilitator4@noon.com,10,+966501234595,91,Accelerated
S096,Amal Al-Salem,C03,facilitator4@noon.com,11,+966501234596,28,Remedial
S097,Yousef Al-Harbi,C03,facilitator4@noon.com,10,+966501234597,87,Standard
S098,Layla Al-Mutairi,C03,facilitator5@noon.com,11,layla.mutairi@gmail.com,95,Remedial
S099,Ahmad Al-Dossari,C03,facilitator5@noon.com,10,+966501234599,85,Standard
S100,Fatima Al-Ghamdi,C03,facilitator5@noon.com,11,+966501234600,90,Standard
S101,Omar Al-Qahtani,C03,facilitator5@noon.com,10,+966501234601,86,Standard
S102,Sara Al-Shammari,C03,facilitator5@noon.com,11,+966501234602,48,Remedial
S103,Khalid Al-Zahrani,C03,facilitator5@noon.com,10,+966501234603,88,Standard
S104,Maryam Al-Maliki,C03,facilitator5@noon.com,11,+966501234604,70,Standard
S105,Abdullah Al-Otaibi,C03,facilitator5@noon.com,10,+966501234605,74,Standard
S106,Nora Al-Juhani,C03,facilitator5@noon.com,11,+966501234606,83,Standard
S107,Hassan Al-Balawi,C03,facilitator5@noon.com,10,+966501234607,92,Accelerated
S108,Amal Al-Subai,C03,facilitator5@noon.com,11,+966501234608,33,Remedial
S109,Yousef Al-Faraj,C03,facilitator5@noon.com,10,+966501234609,86,Standard
S110,Layla Al-Khaldi,C03,facilitator5@noon.com,11,+966501234610,65,Remedial
S111,Ahmad Al-Anzi,C03,facilitator5@noon.com,10,+966501234611,85,Standard
S112,Fatima Al-Shahrani,C03,facilitator5@noon.com,11,+966501234612,89,Standard
S113,Omar Al-Qaisi,C03,facilitator5@noon.com,10,+966501234613,37,Remedial
S114,Sara Al-Mutlaq,C03,facilitator5@noon.com,11,+966501234614,87,Standard
S115,Khalid Al-Thani,C03,facilitator5@noon.com,10,+966501234615,69,Standard
S116,Maryam Al-Mansour,C03,facilitator5@noon.com,11,+966501234616,76,Standard
S117,Abdullah Al-Rashidi,C03,facilitator5@noon.com,10,+966501234617,84,Standard
S118,Nora Al-Saud,C04,facilitator6@noon.com,11,+966501234618,83,Standard
S119,Hassan Al-Khalifa,C04,facilitator6@noon.com,10,+966501234619,91,Accelerated
S120,Amal Al-Salem,C04,facilitator6@noon.com,11,+966501234620,29,Remedial
S121,Yousef Al-Harbi,C04,facilitator6@noon.com,10,+966501234621,86,Standard
S122,Layla Al-Mutairi,C04,facilitator6@noon.com,11,+966501234622,63,Remedial
S123,Ahmad Al-Dossari,C04,facilitator6@noon.com,10,+966501234623,73,Standard
S124,Fatima Al-Ghamdi,C04,facilitator6@noon.com,11,+966501234624,84,Standard
S125,Omar Al-Qahtani,C04,facilitator6@noon.com,10,+966501234625,89,Standard
S126,Sara Al-Shammari,C04,facilitator6@noon.com,11,+966501234626,35,Remedial
S127,Khalid Al-Zahrani,C04,facilitator6@noon.com,10,+966501234627,86,Standard
S128,Maryam Al-Maliki,C04,facilitator6@noon.com,11,+966501234628,68,Standard
S129,Abdullah Al-Otaibi,C04,facilitator6@noon.com,10,+966501234629,73,Standard
S130,Nora Al-Juhani,C04,facilitator6@noon.com,11,+966501234630,82,Standard
S131,Hassan Al-Balawi,C04,facilitator6@noon.com,10,+966501234631,90,Standard
S132,Amal Al-Subai,C04,facilitator6@noon.com,11,+966501234632,27,Remedial
S133,Yousef Al-Faraj,C04,facilitator6@noon.com,10,+966501234633,85,Standard
S134,Layla Al-Khaldi,C04,facilitator6@noon.com,11,+966501234634,68,Standard
S135,Ahmad Al-Anzi,C04,facilitator6@noon.com,10,+966501234635,83,Standard
S136,Fatima Al-Shahrani,C04,facilitator6@noon.com,11,+966501234636,88,Standard
S137,Omar Al-Qaisi,C04,facilitator6@noon.com,10,+966501234637,32,Remedial
S138,Sara Al-Mutlaq,C04,facilitator6@noon.com,11,+966501234638,84,Standard
S139,Khalid Al-Thani,C04,facilitator6@noon.com,10,+966501234639,66,Standard
S140,Maryam Al-Mansour,C04,facilitator6@noon.com,11,+966501234640,72,Standard
S141,Abdullah Al-Rashidi,C04,facilitator6@noon.com,10,+966501234641,81,Standard
S142,Nora Al-Saud,C04,facilitator7@noon.com,11,+966501234642,81,Standard
S143,Hassan Al-Khalifa,C04,facilitator7@noon.com,10,+966501234643,89,Standard
S144,Amal Al-Salem,C04,facilitator7@noon.com,11,+966501234644,25,Remedial
S145,Yousef Al-Harbi,C04,facilitator7@noon.com,10,+966501234645,75,Remedial
S146,Layla Al-Mutairi,C04,facilitator7@noon.com,11,+966501234646,61,Remedial
S147,Ahmad Al-Dossari,C04,facilitator7@noon.com,10,+966501234647,82,Standard
S148,Fatima Al-Ghamdi,C04,facilitator7@noon.com,11,+966501234648,87,Standard
S149,Omar Al-Qahtani,C04,facilitator7@noon.com,10,+966501234649,29,Remedial
S150,Sara Al-Shammari,C04,facilitator7@noon.com,11,+966501234650,83,Standard
S151,Khalid Al-Zahrani,C04,facilitator7@noon.com,10,+966501234651,65,Standard
S152,Maryam Al-Maliki,C04,facilitator7@noon.com,11,+966501234652,71,Standard
S153,Abdullah Al-Otaibi,C04,facilitator7@noon.com,10,+966501234653,80,Standard
S154,Nora Al-Juhani,C04,facilitator7@noon.com,11,+966501234654,88,Standard
S155,Hassan Al-Balawi,C04,facilitator7@noon.com,10,+966501234655,22,Remedial
S156,Amal Al-Subai,C04,facilitator7@noon.com,11,+966501234656,85,Remedial
S157,Yousef Al-Faraj,C04,facilitator7@noon.com,10,+966501234657,81,Standard
S158,Layla Al-Khaldi,C04,facilitator7@noon.com,11,+966501234658,86,Standard
S159,Ahmad Al-Anzi,C04,facilitator7@noon.com,10,+966501234659,27,Remedial
S160,Fatima Al-Shahrani,C04,facilitator7@noon.com,11,+966501234660,82,Standard
S161,Omar Al-Qaisi,C04,facilitator7@noon.com,10,+966501234661,63,Standard
S162,Sara Al-Mutlaq,C04,facilitator7@noon.com,11,+966501234662,70,Standard
S163,Khalid Al-Thani,C05,facilitator8@noon.com,10,+966501234663,79,Standard
S164,Maryam Al-Mansour,C05,facilitator8@noon.com,11,+966501234664,79,Standard
S165,Abdullah Al-Rashidi,C05,facilitator8@noon.com,10,+966501234665,85,Standard
S166,Nora Al-Saud,C05,facilitator8@noon.com,11,+966501234666,20,Remedial
S167,Hassan Al-Khalifa,C05,facilitator8@noon.com,10,+966501234667,81,Standard
S168,Amal Al-Salem,C05,facilitator8@noon.com,11,+966501234668,57,Remedial
S169,Yousef Al-Harbi,C05,facilitator8@noon.com,10,+966501234669,80,Standard
S170,Layla Al-Mutairi,C05,facilitator8@noon.com,11,+966501234670,85,Standard
S171,Ahmad Al-Dossari,C05,facilitator8@noon.com,10,+966501234671,24,Remedial
S172,Fatima Al-Ghamdi,C05,facilitator8@noon.com,11,+966501234672,81,Standard
S173,Omar Al-Qahtani,C05,facilitator8@noon.com,10,+966501234673,61,Standard
S174,Sara Al-Shammari,C05,facilitator8@noon.com,11,+966501234674,69,Standard
S175,Khalid Al-Zahrani,C05,facilitator8@noon.com,10,+966501234675,78,Standard
S176,Maryam Al-Maliki,C05,facilitator8@noon.com,11,+966501234676,84,Standard
S177,Abdullah Al-Otaibi,C05,facilitator8@noon.com,10,+966501234677,21,Remedial
S178,Nora Al-Juhani,C05,facilitator8@noon.com,11,+966501234678,80,Standard
S179,Hassan Al-Balawi,C05,facilitator8@noon.com,10,+966501234679,55,Remedial
S180,Amal Al-Subai,C05,facilitator8@noon.com,11,+966501234680,79,Standard
S181,Yousef Al-Faraj,C05,facilitator8@noon.com,10,+966501234681,84,Standard
S182,Layla Al-Khaldi,C05,facilitator8@noon.com,11,+966501234682,18,Remedial
S183,Ahmad Al-Anzi,C05,facilitator8@noon.com,10,+966501234683,79,Standard
S184,Fatima Al-Shahrani,C05,facilitator8@noon.com,11,+966501234684,60,Remedial
S185,Omar Al-Qaisi,C05,facilitator8@noon.com,10,+966501234685,68,Standard
S186,Sara Al-Mutlaq,C05,facilitator8@noon.com,11,+966501234686,77,Standard
S187,Khalid Al-Thani,C05,facilitator8@noon.com,10,+966501234687,83,Standard
S188,Maryam Al-Mansour,C05,facilitator8@noon.com,11,+966501234688,16,Remedial
S189,Abdullah Al-Rashidi,C05,facilitator8@noon.com,10,+966501234689,78,Standard
S190,Nora Al-Saud,C05,facilitator8@noon.com,11,+966501234690,65,Remedial
S191,Hassan Al-Khalifa,C05,facilitator8@noon.com,10,+966501234691,54,Remedial
S192,Amal Al-Salem,C05,facilitator8@noon.com,11,+966501234692,77,Standard
S193,Yousef Al-Harbi,C05,facilitator8@noon.com,10,+966501234693,82,Standard
S194,Layla Al-Mutairi,C05,facilitator8@noon.com,11,+966501234694,14,Remedial
S195,Ahmad Al-Dossari,C05,facilitator8@noon.com,10,+966501234695,77,Standard
S196,Fatima Al-Ghamdi,C05,facilitator8@noon.com,11,+966501234696,52,Remedial
S197,Omar Al-Qahtani,C05,facilitator8@noon.com,10,+966501234697,76,Standard
S198,Sara Al-Shammari,C05,facilitator8@noon.com,11,+966501234698,81,Standard
S199,Khalid Al-Zahrani,C05,facilitator8@noon.com,10,+966501234699,12,Remedial
S200,Maryam Al-Maliki,C05,facilitator8@noon.com,11,+966501234700,76,Standard
