student_id,student_name,campus_id,facilitator_email,grade,parent_phone,target_score,learning_track,total_days_in_window,days_attended,total_minutes_attended,avg_minutes_per_session,total_practice_questions,avg_practice_per_day,days_with_practice,attendance_rate,last_quiz_score,session_attended_min_pre_quiz,session_attended_min_post_quiz,practice_questions_pre_quiz,practice_questions_post_quiz,recent_consec_misses,facilitator_notes_combined,notes_resolution_summary,data_anomaly_detected,student_gender,risk_score,risk_tier,risk_reasons
S042,Sara Al-Balawi,C02,facilitator3@noon.com,11,+966501234542,84,Standard,10,9,758.0,84.22222222222223,141,14.1,9,0.9,82.0,82.85714285714286,89.0,13.375,17.0,1,سارة شكلها مشتته، تتفحص جوالها وقت الحصة | ابوها ارسل واتساب - سارة كانت مريضه طول الاسبوع. راح ترجع الاثنين ان شاء الله | سارة رجعت بس شكلها متأخره. عرضت عليها مساعده اضافية بعد الحصة، رفضت,names_corrected,False,أنثى,1,Yellow,On track
S046,Nora Al-Anzi,C02,facilitator3@noon.com,11,+966501234546,68,Remedial,10,10,500.0,50.0,229,22.9,10,1.0,61.0,49.75,51.0,22.875,23.0,0,نورة نفس المشكلة - تمارين كثيرة بس كلها سهلة. محتاج يتحدى نفسه اكثر | نورة بدا يدخل اسئلة صعبة بالتمارين. تقدم جيد,names_corrected,False,أنثى,2,Yellow,Borderline attendance (avg 50 min/session); Borderline Quiz 1 pass (score 61)
S050,Layla Al-Thani,C02,facilitator3@noon.com,11,+966501234550,88,Standard,10,10,773.0,77.3,175,17.5,10,1.0,86.0,87.25,37.5,20.375,6.0,0,ليلى شكلها متعبه هاليومين. يمكن بداية مرض؟ | ليلى جت ٤٥ دقيقة بس اليوم، عادة تبقى كامل الحصة. شي تغير؟ | ليلى جت ٣٠ دقيقة بس. سألتها ايش المشكلة - قالت تحس بتعب. يمكن مريضه؟,original,False,أنثى,2,Yellow,Post-quiz attendance dropped 57 % (87 → 38); Post-quiz practice dropped 71 % (20 → 6)
S056,Maryam Al-Harbi,C02,facilitator3@noon.com,11,+966501234556,71,Standard,10,10,700.0,70.0,95,9.5,10,1.0,67.0,69.75,71.0,9.375,10.0,0,,no_notes,False,أنثى,2,Yellow,Below-target practice (avg 9.5 Q/day); Borderline Quiz 1 pass (score 67)
S058,Nora Al-Dossari,C02,facilitator3@noon.com,11,+966501234558,75,Remedial,10,10,588.0,58.8,118,11.8,10,1.0,70.0,56.25,69.0,10.0,19.0,0,اتصلت على ام نورة - قلقانه على استعدادها للاختبار. الام كانت متوتره مره، شرحت لها انه اختبار تكويني مو نهائي. ارتاحت | نورة جابت ٧٠!! الام ارسلت لي واتساب شكر مع ٥ ايموجي كيك ههههه. مرتاحه مره | نورة احسن بكثير الحين - الحضور زاد، التمارين زادت. التدخل نجح!,names_corrected,False,أنثى,2,Yellow,Borderline attendance (avg 59 min/session)
S067,Khalid Al-Shahrani,C02,facilitator3@noon.com,10,+966501234567,88,Standard,10,10,743.0,74.3,162,16.2,10,1.0,86.0,87.25,22.5,19.375,3.5,0,خالد جا ٣٠ دقيقة اليوم. اتصلت على امه، قالت مو مرتاح بس بغى يحضر على كل حال | خالد لسا تعبان. قلت لأمه اذا ما تحسن يروح دكتور | خالد جا ١٥ دقيقة بس واضطر يطلع. قلت لأمه يرتاح بكره اذا لسا تعبان,names_corrected,False,ذكر,2,Yellow,Post-quiz attendance dropped 74 % (87 → 22); Post-quiz practice dropped 82 % (19 → 4)
S068,Maryam Al-Qaisi,C02,facilitator3@noon.com,11,+966501234568,69,Standard,10,10,698.0,69.8,95,9.5,10,1.0,65.0,69.75,70.0,9.25,10.5,0,,no_notes,False,أنثى,2,Yellow,Below-target practice (avg 9.5 Q/day); Borderline Quiz 1 pass (score 65)
S070,Nora Al-Thani,C02,facilitator3@noon.com,11,+966501234570,78,Remedial,10,10,563.0,56.3,186,18.6,10,1.0,72.0,53.75,66.5,17.0,25.0,0,اتصلت على اهل نورة - كانت فاشله بالاول بس الحين احسن بكثير! مبسوطين من التقدم | نورة جابت ٧٢! تحسن كبير. التدخل يوم ٥ ساعد مره. بدت تتمرن بجديه | نورة ممتازه الحين - ٦٨ دقيقة حضور، ٢٦ سؤال اليوم. تغيير كامل! | نورة كمان قصة نجاح ثانيه. بدت ضعيفه بس التدخل المبكر غير كل شي,names_corrected,False,أنثى,1,Yellow,Borderline attendance (avg 56 min/session)
S080,Maryam Al-Maliki,C03,facilitator4@noon.com,11,+966501234580,68,Standard,10,10,674.0,67.4,85,8.5,10,1.0,64.0,67.375,67.5,8.25,9.5,0,,no_notes,False,أنثى,2,Yellow,Below-target practice (avg 8.5 Q/day); Borderline Quiz 1 pass (score 64)
S092,Maryam Al-Mansour,C03,facilitator4@noon.com,11,+966501234592,67,Standard,10,10,647.0,64.7,75,7.5,10,1.0,63.0,64.625,65.0,7.25,8.5,0,,no_notes,False,أنثى,3,Yellow,Borderline attendance (avg 65 min/session); Below-target practice (avg 7.5 Q/day); Borderline Quiz 1 pass (score 63)
S098,Layla Al-Mutairi,C03,facilitator5@noon.com,11,layla.mutairi@gmail.com,95,Remedial,10,10,573.0,57.3,206,20.6,10,1.0,92.0,55.0,66.5,18.0,31.0,0,ام ليلى اتصلت قلقانه مره على الاختبار. شرحت لها هذا بس عشان نفهم وين تحتاج دعم، مو درجة نهائية. هدت | ليلى جابت ٩٢!! الام مبسوطه موووت. اشتغلت بجد - راحت من الخمسينات الى ٩٢! | ليلى محافظه على الزخم - ٣٢ سؤال اليوم! قصة نجاح مذهلة | ليلى من اروع قصص النجاح. الام كانت قلقانه جداً بس بعد الدعم والمتابعه، ليلى تفوقت,original,False,أنثى,2,Yellow,Borderline attendance (avg 57 min/session)
S101,Omar Al-Qahtani,C03,facilitator5@noon.com,10,+966501234601,86,Standard,10,8,698.0,69.8,147,14.7,8,0.8,84.0,87.25,0.0,18.375,0.0,2,عمر ما جا اليوم. كان ممتاز قبل كذا (٨٤ بالاختبار). ايش صار؟ | لسا ما في عمر. حاولت اتصل على الاهل، ما في رد لحد الان | عمر كان من الممتازين. فجأة اختفى بدون سبب واضح. لازم نوصل لأهله,original,False,ذكر,3,Yellow,2 consecutive session misses; Post-quiz attendance dropped 100 % (87 → 0); Post-quiz practice dropped 100 % (18 → 0)
S104,Maryam Al-Maliki,C03,facilitator5@noon.com,11,+966501234604,70,Standard,10,10,698.0,69.8,95,9.5,10,1.0,66.0,69.75,70.0,9.25,10.5,0,,no_notes,False,أنثى,2,Yellow,Below-target practice (avg 9.5 Q/day); Borderline Quiz 1 pass (score 66)
S115,Khalid Al-Thani,C03,facilitator5@noon.com,10,+966501234615,69,Standard,10,10,674.0,67.4,85,8.5,10,1.0,65.0,67.375,67.5,8.25,9.5,0,,no_notes,False,ذكر,2,Yellow,Below-target practice (avg 8.5 Q/day); Borderline Quiz 1 pass (score 65)
S117,Abdullah Al-Rashidi,C03,facilitator5@noon.com,10,+966501234617,84,Standard,10,10,733.0,73.3,152,15.2,10,1.0,82.0,87.25,17.5,18.375,2.5,0,عبدالله جا ٢٥ دقيقة اليوم. غريب مره - عادة يجي كامل الوقت | عبدالله قال الصداع مستمر من امس. نصحت ابوه ياخذه مستشفى | عبدالله جا ١٠ دقائق بس. اتصلت على ابوه - عبدالله عنده صداع. اقترحت يرتاح بكره,original,False,ذكر,2,Yellow,Post-quiz attendance dropped 80 % (87 → 18); Post-quiz practice dropped 86 % (18 → 2)
S128,Maryam Al-Maliki,C04,facilitator6@noon.com,11,+966501234628,68,Standard,10,10,647.0,64.7,85,8.5,10,1.0,64.0,64.625,65.0,8.25,9.5,0,,no_notes,False,أنثى,3,Yellow,Borderline attendance (avg 65 min/session); Below-target practice (avg 8.5 Q/day); Borderline Quiz 1 pass (score 64)
S134,Layla Al-Khaldi,C04,facilitator6@noon.com,11,+966501234634,68,Standard,10,10,526.0,52.6,92,9.2,10,1.0,60.0,53.25,50.0,9.375,8.5,0,ليلى دايم متأخر. جا بعد ٤٨ دقيقة من بداية الحصة اليوم | ليلى متأخر مره ثانيه - جا بعد ٥٢ دقيقة من بداية الحصة. اتصلت على ابوه اشرح ان هذي مشكله | الاب شرح انه يشتغل وردية ليل، ما يقدر يصحي ليلى بالصبح. عرضت انقل ليلى لحصة عصر بس ما عندنا حصص عصر ههههه | ليلى لسا يجي متأخر - ٤٨ دقيقة بعد بداية الحصة. نحتاج حل بس ايش نقدر نسوي؟ | ليلى وضعه خاص - الاب يشتغل ليل وما يقدر يصحيه. نحتاج نشوف اذا في حل ابداعي,names_corrected,False,أنثى,4,Yellow,Borderline attendance (avg 53 min/session); Below-target practice (avg 9.2 Q/day); Borderline Quiz 1 pass (score 60)
S139,Khalid Al-Thani,C04,facilitator6@noon.com,10,+966501234639,66,Standard,10,10,639.0,63.9,75,7.5,10,1.0,62.0,63.875,64.0,7.25,8.5,0,,no_notes,False,ذكر,3,Yellow,Borderline attendance (avg 64 min/session); Below-target practice (avg 7.5 Q/day); Borderline Quiz 1 pass (score 62)
S141,Abdullah Al-Rashidi,C04,facilitator6@noon.com,10,+966501234641,81,Standard,10,9,713.0,71.3,149,14.9,9,0.9,79.0,87.25,7.5,18.375,1.0,1,عبدالله جا ١٥ دقيقة بس وطلع. اتصلت على امه - قالت ما كان مرتاح | سألت ام عبدالله ايش عنده بالضبط. قالت حمى ورشح. قلت لها يرتاح وما يجي لين يتعافى | عبدالله ما جا ابداً اليوم. الام قالت لسا مريض، راح يرجع الاسبوع الجاي ان شاء الله,names_corrected,False,ذكر,2,Yellow,Post-quiz attendance dropped 91 % (87 → 8); Post-quiz practice dropped 95 % (18 → 1)
S151,Khalid Al-Zahrani,C04,facilitator7@noon.com,10,+966501234651,65,Standard,10,10,613.0,61.3,75,7.5,10,1.0,61.0,61.25,61.5,7.25,8.5,0,,no_notes,False,ذكر,3,Yellow,Borderline attendance (avg 61 min/session); Below-target practice (avg 7.5 Q/day); Borderline Quiz 1 pass (score 61)
S156,Amal Al-Subai,C04,facilitator7@noon.com,11,+966501234656,85,Remedial,10,10,568.0,56.8,173,17.3,10,1.0,78.0,51.875,76.5,13.875,31.0,0,أمل كان يعاني بالاول - حضور ضعيف وتمارين قليله | قعدت مع أمل بعد الحصة اشرح له الكسور. فهمهم! | أمل جاب ٧٨ بالاختبار! تحسن هائل من اول الشهر | ابو أمل اتصل يشكرني - قال أمل الحين واثق بنفسه ومستمتع بالدراسة. هذا اللي نبيه! | أمل محافظ على التقدم - ٧٨ دقيقة حضور، ٣٢ سؤال اليوم. قصة نجاح حقيقية | أمل احسن مثال على اهمية الوقت الاضافي والشرح الفردي. احياناً الطالب بس يحتاج شوية اهتمام زيادة,names_corrected,False,أنثى,1,Yellow,Borderline attendance (avg 57 min/session)
S163,Khalid Al-Thani,C05,facilitator8@noon.com,10,+966501234663,79,Standard,10,10,741.0,74.1,215,21.5,9,1.0,77.0,87.625,20.0,26.625,1.0,0,خالد جا ٢٥ دقيقة بس اليوم. غريب - عادة ملتزم | خالد ارسل واتساب يقول مو قادر يحضر اليوم. على الاقل ابلغ | خالد جا ١٥ دقيقة وطلع. اتصلت على ابوه، قال خالد تعبان. قلت له يخليه يرتاح,names_corrected,False,ذكر,2,Yellow,Post-quiz attendance dropped 77 % (88 → 20); Post-quiz practice dropped 96 % (27 → 1)
